"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Cape Verde","CPV","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.022","","","","","0.022","","","","0.022","","",
"Costa Rica","CRI","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.772","","","","","2.68","","","","","2.68","","","","2.68","","",
"South Asia (IFC classification)","CSA","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3382","","","","","3.3688","","","","","3.3954","","","","3.3954","","",
"Cuba","CUB","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.211","","","","","7.555","","","","","7.555","","","","7.555","","",
"Curacao","CUW","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","0.155","","","","","0.177","","","","","0.2","","","","","0.226","","","","","0.211","","","","","0.1945","","","","","0.216","","","","0.184","","",
"Czech Republic","CZE","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.493","","","","","1.748","","","","","1.699","","","","1.699","","",
"Germany","DEU","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.2","","","","","39.15","","","","","32.3","","","","32.3","","",
"Djibouti","DJI","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","0.008","","","","","","","","","","0.008","","","","","0.019","","","","","0.019","","","","0.019","","",
"Dominica","DMA","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0166","","","","","0.0166","","","","","0.0166","","","","0.0166","","",
"Denmark","DNK","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.132","","","","","1.132","","","","","0.6842","","","","","0.57","","","","0.66","","",
"Dominican Republic","DOM","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.339","","","","","3.485","","","","","3.485","","","","3.485","","",
"Algeria","DZA","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","2","","","","","2.5","","","","","3","","","","","3.5","","","","","4.5","","","","","4.5","","","","","6.161","","","","","6.161","","","","6.161","","",
"East Asia & Pacific (developing only)","EAP","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","949.2558","","","","951.9158","","",
"East Asia & Pacific (all income levels)","EAS","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1092.3808","","","","1095.0408","","",
"Europe & Central Asia (developing only)","ECA","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","242.518","","","","","249.24","","","","","255.387","","","","254.4149","","",
"Europe & Central Asia (all income levels)","ECS","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","542.2715","","","","","555.7257","","","","","547.9937","","","","545.9861","","",
"Ecuador","ECU","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.99","","","","","15.25","","","","","15.25","","","","15.25","","",
"Egypt, Arab Rep.","EGY","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","48.2","","","","","","","","","","","","","","","","","","","","58.87","","","","","68.3","","","","","68.3","","","","68.3","","",
"Euro area","EMU","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","102.187","","","","","","","","","","","","","","","183.1825","","","","","198.4906","","","","","187.3911","","","","186.3551","","",
"Eritrea","ERI","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4134","","","","","0.582","","","","0.582","","",
"Spain","ESP","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","39.92","","","","","45.85","","","","","36.9","","","","","34.6","","","","","36.69","","","","","32.63","","","","32.46","","",
"Estonia","EST","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.158","","","","","1.462","","","","","1.796","","","","1.796","","",
"Ethiopia","ETH","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.558","","","","","5.558","","","","5.558","","",
"European Union","EUU","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","172.718","","","","","175.283","","","","","155.179","","","","","243.6415","","","","","256.1438","","","","","241.0471","","","","238.2871","","",
"Finland","FIN","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","3.7","","","","","4","","","","","2.347","","","","","2.586","","","","","2.27","","","","","1.634","","","","1.634","","",
"Fiji","FJI","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","0.03","","","","","0.0817","","","","","0.0817","","","","0.0817","","",
"France","FRA","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","30.97","","","","","34.89","","","","","37.69","","","","","30.34","","","","","32.71","","","","","31.62","","","","31.62","","",
